pick_date,trip_count,passenger_count,fare_amount,tip_amount,total_amount,avg_duration
2020-01-01,10970,11939,178240.34000000003,12107.569999999998,211721.50000000012,1136.4511868845912
2020-01-02,15023,12372,256021.12,10125.22,298001.7300000003,1275.9875587011234
2020-01-03,16062,13839,260652.47999999995,12025.17,305897.5200000002,1165.6933209370281
2020-01-04,14295,13919,219445.77999999994,11884.73,257971.08000000005,1106.835524361086
2020-01-05,12732,11133,199701.86,9580.08,233627.58000000054,1136.0576970762
2020-01-06,16323,13613,272291.9699999999,11450.51,317667.02,1206.0866983334477
2020-01-07,17027,13498,293411.04,12087.94,341433.03,1121.8069421499097
2020-01-08,17586,14159,293722.08999999997,13101.820000000002,344045.37,1234.703179744243
2020-01-09,18491,15116,312777.82,13616.019999999999,365336.3399999997,1164.4532613460328
2020-01-10,18307,15412,306925.64,14313.740000000002,359503.1999999997,1208.8589485975751
2020-01-11,15175,15136,235002.17,14048.279999999999,278203.21,1230.713476869509
2020-01-12,13442,12206,218332.48999999993,11201.49,255984.77000000048,1296.823716019608
2020-01-13,14288,14507,225088.14999999988,14750.629999999997,272880.4599999997,1222.214054284295
2020-01-14,13977,14085,223637.19999999995,12691.08,269294.69999999995,1133.1957745217055
2020-01-15,14157,13762,226754.5499999999,13139.88,273445.4699999999,1118.025221138138
2020-01-16,15218,15612,235004.51999999993,14703.27,284776.2399999997,1182.479174244992
2020-01-17,16011,16774,241722.76999999993,16156.789999999997,293660.1199999994,1199.2054624679115
2020-01-18,11080,12441,155174.97,11791.069999999998,187943.67000000062,1230.266772959453
2020-01-19,11193,12303,164959.34999999998,11737.26,199397.65000000046,1016.212232276826
2020-01-20,9684,10847,138305.85,9850.539999999999,168054.00000000038,1172.0976898065717
2020-01-21,14191,14154,223883.42999999993,12879.52,270170.55999999994,1174.9701882966667
2020-01-22,14552,14308,232398.74999999994,13674.960000000003,280550.70999999996,1144.9694035576865
2020-01-23,14757,14904,231191.79999999993,14785.01,280551.62999999983,1150.2760657134888
2020-01-24,15148,15385,234433.81000000003,14400.910000000003,283174.63999999984,1254.7747573517915
2020-01-25,13311,14906,188397.66999999998,14724.809999999998,229024.10000000036,1137.4736858850124
2020-01-26,11772,12780,177754.81,12407.609999999997,214057.5500000004,1254.6492712928637
2020-01-27,13451,13348,211782.92000000007,12329.04,255104.96000000025,1072.229869135963
2020-01-28,14383,14265,230653.5400000001,13310.019999999997,277993.3799999999,1121.9279211819173
2020-01-29,14564,14382,231916.11000000004,14131.169999999996,280226.74000000005,1435.9082131904415
2020-01-30,14911,15053,234061.25000000012,14791.980000000003,283370.9299999999,1325.689488321907
2020-01-31,15645,16390,238388.25000000006,15074.030000000002,288660.01999999967,1200.6857013670744
2020-02-01,13011,14529,186460.26999999996,13505.080000000004,225300.66000000027,1160.3912087502629
2020-02-02,11906,12914,179672.62999999995,11810.430000000002,216019.45000000036,1113.0516719704171
2020-02-03,13485,13668,211888.3599999999,11776.360000000002,254751.32000000004,1156.3524168407776
2020-02-04,13981,13886,225180.90999999992,12665.320000000003,271027.83,1209.732058263284
2020-02-05,14893,14999,232853.23999999996,14000.220000000007,281217.4699999998,1264.997604386158
2020-02-06,14846,15142,230004.43999999997,14946.020000000004,278776.2799999998,1188.0804154653542
2020-02-07,15977,16596,239700.66999999998,16474.24,291581.1099999995,1234.9208312830747
2020-02-08,13643,14993,203218.86999999994,14919.979999999998,245602.76000000007,1151.2046037969467
2020-02-09,11431,11883,177426.5599999999,12440.289999999999,214243.4200000005,1266.0134892085116
2020-02-10,13555,13913,209449.67999999988,12584.510000000002,253150.06000000003,1358.359000746617
2020-02-11,13535,13333,214765.17999999996,12978.119999999999,259594.40000000014,1283.936825115222
2020-02-12,14964,14973,232579.28999999992,14304.75,281722.7599999999,1112.2590582507348
2020-02-13,15516,15819,242605.99999999997,15364.720000000003,293777.58999999973,1225.9437134882182
2020-02-14,16574,17749,250762.39999999997,16114.259999999995,303152.5599999991,1207.6658216461597
2020-02-15,12786,14265,185691.76,13333.500000000002,224176.6500000003,1097.134116018014
2020-02-16,10671,11210,163185.59,10532.000000000002,195560.54000000053,1189.5202098707903
2020-02-17,9420,10780,136080.15,10104.759999999998,165282.5600000004,1237.8582939185433
2020-02-18,12652,12463,201118.51999999996,11978.480000000003,243128.98000000024,1155.2235201335677
2020-02-19,13729,13761,216922.6499999999,13512.91,262802.68000000017,1154.5090522726528
2020-02-20,14318,15005,218366.26999999996,14593.959999999995,265837.87,1071.986574651489
2020-02-21,15069,15654,225487.5399999999,14949.39,274396.71999999974,1079.4497438530661
2020-02-22,12779,14276,191081.79999999996,13807.449999999997,230110.82000000018,1298.5768811990233
2020-02-23,11423,11974,178496.93999999994,11466.73,214116.38000000047,1156.3209894152114
2020-02-24,13099,13123,209877.56000000006,12028.34,252342.9600000002,1136.2103109138113
2020-02-25,13909,14139,216615.8500000001,13019.300000000003,261354.19000000012,1188.9583208337488
2020-02-26,14748,15221,229310.70000000007,13514.419999999995,276146.34999999986,1105.5749904584557
2020-02-27,16034,16704,241341.27000000008,15651.869999999999,293030.8099999994,1110.3335922157912
2020-02-28,16246,16971,249181.0600000001,15644.070000000002,300160.3799999996,1208.8392674160045
2020-02-29,14444,16508,206105.19000000006,15222.419999999998,248515.21999999994,1135.6243794415939
