pick_hour,trip_count,passenger_count,fare_amount,tip_amount,total_amount,avg_duration
12,68240,59136,1118473.9099999997,58427.109999999964,1305575.2600000026,1155.689920163693
22,42614,47123,592709.1799999998,47438.189999999966,724393.3600000012,1002.2554990290424
1,17447,20471,244120.81999999986,18641.74,293452.8600000002,1105.4290526139894
13,68951,61564,1121449.2499999995,59362.46,1307565.5400000024,1164.9291132894596
6,24354,15997,568637.5000000001,17936.810000000005,654639.0199999999,1319.5925067287387
16,82388,82117,1346216.8900000008,81705.37000000001,1622766.4599999967,1402.4361138634524
3,11358,12205,201517.55,11513.45,234410.1400000003,1058.1197235199695
20,57568,65163,768191.8099999998,65347.97,947669.0900000005,1047.1183030997645
5,13382,8274,314610.82000000007,9272.44,362905.31999999995,1190.9223226223435
19,70680,82083,924381.7200000002,81234.61000000002,1159708.0899999978,1025.7234544962275
15,78437,74472,1290121.8400000003,71747.68999999999,1509833.5499999993,1279.5691618003732
17,82150,87361,1208238.2399999998,88701.18999999999,1482552.1599999955,1188.8005044634292
9,71523,60244,1150972.4199999997,69410.66999999997,1361631.91,1048.9319942982509
4,13269,10367,298776.06999999966,9565.680000000002,340663.76000000024,1196.9222517442547
8,64156,54312,1061299.0499999996,65101.90999999998,1252051.9600000004,1114.3129161772918
23,36030,38620,505095.62000000005,38729.73000000001,612659.4900000013,1017.8460205090987
7,44870,34984,833228.7299999999,40398.26999999999,971111.750000001,1141.4956430339942
10,70463,59784,1135925.0600000003,63354.80999999999,1337603.4700000014,1085.1145423636317
21,48830,54446,661122.38,55233.77999999999,813215.2500000014,1076.5985682079022
11,68182,59496,1114757.5000000002,61095.91999999999,1307399.0300000024,1096.614165678562
14,73519,68874,1188069.9200000002,65460.210000000036,1387779.820000001,1182.20471963707
2,12079,14372,179841.3099999999,13284.530000000004,214396.0500000002,1044.3056701304395
0,25223,28550,333499.7099999999,26602.759999999995,404456.1800000008,1101.4113392392949
18,80134,91201,1072174.5799999998,91500.40999999999,1340725.0099999944,1072.319889379279
