LocationID,Dtrip_count,Dpassenger_count,Dfare_amount,Dtip_amount,Dtotal_amount
148,2191,2418,44638.53000000001,4223.8899999999985,56981.879999999896
243,8140,8960,114711.56000000007,7674.419999999998,134093.78999999826
31,778,294,18905.74000000001,391.13,21285.750000000004
137,6211,2866,177936.65999999992,7940.250000000002,215290.81999999995
85,2731,1154,55962.02000000009,1584.03,62990.12000000001
251,46,24,2408.95,67.9,3018.1799999999994
65,7570,7182,107753.39000000019,6934.5999999999985,125661.73999999909
255,4115,5455,55817.73000000001,7078.869999999995,68589.97999999954
53,1654,1580,31383.01999999999,1453.03,35505.630000000056
133,1959,1439,40805.50999999999,2195.7200000000003,46855.750000000044
78,2926,1676,60324.640000000036,1158.4,67931.00999999998
108,1768,656,43885.809999999976,820.7800000000001,48330.989999999976
155,2273,632,55956.05000000015,920.3700000000001,61707.38000000004
193,6097,6740,58018.29,3230.100000000001,69795.57999999965
34,866,963,9893.839999999998,956.7400000000004,12062.250000000002
211,800,982,16653.18,2283.6199999999994,22052.670000000016
126,2293,1628,44283.09000000001,1130.82,49996.80000000001
101,674,285,21579.759999999995,500.12,23593.130000000005
115,164,110,7522.12,162.69,9424.910000000002
81,2193,743,67780.83,970.14,75495.36999999995
28,5724,5860,82033.91999999998,4974.139999999999,96154.2799999996
210,3991,2812,74752.06999999998,2197.66,84199.90000000001
183,807,386,18370.149999999998,320.84999999999997,20648.890000000003
76,9036,2692,215989.0699999994,3572.95,240006.64000000077
27,98,31,5070.17,117.96,5772.64
26,2817,1093,66588.87999999998,1330.7999999999997,73549.36999999997
159,6682,5148,111138.41999999998,2440.7099999999987,125751.06999999986
192,1539,1374,26061.800000000014,1529.49,30017.53000000006
44,24,17,1072.06,35.75,1252.6699999999998
253,104,89,2382.5,52.87,2640.05
236,18966,23877,205276.96,31868.520000000142,306818.0500000072
12,73,89,1943.5900000000001,188.53,2438.1
223,15844,21529,157290.19000000018,15535.869999999977,196507.32000000222
91,4731,1400,112409.68000000015,2026.6899999999996,124540.90999999997
222,1968,459,51880.34000000003,581.14,57204.34000000007
22,2335,991,63571.720000000016,1295.8,69525.14999999998
209,1254,930,34690.82999999999,1665.9199999999996,41458.420000000006
128,435,381,8198.24,571.24,9510.809999999996
230,3316,3493,82265.40000000001,7828.670000000002,103996.29999999957
122,1416,711,36248.43999999999,668.03,39968.46000000006
233,3177,2999,77066.47000000003,7375.099999999997,98189.55999999976
157,4932,6425,60977.68000000001,4100.660000000002,72416.23999999948
225,9626,6398,171050.0400000004,7415.76,196134.59999999843
232,2234,1750,57182.93,2890.54,68172.02000000003
190,1118,1047,17515.940000000002,1526.6800000000003,20779.19000000001
93,990,745,25272.999999999993,551.51,28201.45000000002
246,2519,2672,63182.89,6928.73,79985.38999999975
224,884,785,22193.969999999998,2210.83,28069.02000000002
111,87,51,1643.13,91.8,1899.2400000000002
47,3129,1812,56939.98000000002,1001.2499999999998,63717.17999999999
