LocationID,Ptrip_count,Ppassenger_count,Pfare_amount,Ptip_amount,Ptotal_amount,Dtrip_count,Dpassenger_count,Dfare_amount,Dtip_amount,Dtotal_amount,Mtrip_count,Mpassenger_count,Mfare_amount,Mtip_amount,Mtotal_amount
148,109,3,3559.7799999999993,24.75,3903.5300000000007,2191,2418,44638.53000000001,4223.8899999999985,56981.879999999896,-2082,-2415,-41078.750000000015,-4199.1399999999985,-53078.3499999999
243,6786,5899,128151.69000000006,7130.430000000002,149248.46999999892,8140,8960,114711.56000000007,7674.419999999998,134093.78999999826,-1354,-3061,13440.12999999999,-543.9899999999961,15154.680000000662
31,269,176,5907.24,432.65999999999997,7092.709999999999,778,294,18905.74000000001,391.13,21285.750000000004,-509,-118,-12998.50000000001,41.52999999999997,-14193.040000000005
85,2347,668,52575.760000000075,883.7199999999998,58898.94,2731,1154,55962.02000000009,1584.03,62990.12000000001,-384,-486,-3386.2600000000166,-700.3100000000002,-4091.1800000000076
137,933,28,28284.05000000002,317.59000000000003,32782.140000000014,6211,2866,177936.65999999992,7940.250000000002,215290.81999999995,-5278,-2838,-149652.6099999999,-7622.660000000002,-182508.67999999993
251,9,15,377.61,27.37,486.35,46,24,2408.95,67.9,3018.1799999999994,-37,-9,-2031.3399999999997,-40.53,-2531.8299999999995
65,27281,29094,376630.71999999974,42289.159999999916,462055.6300000172,7570,7182,107753.39000000019,6934.5999999999985,125661.73999999909,19711,21912,268877.32999999955,35354.55999999992,336393.89000001806
53,587,277,15531.649999999998,259.05,17120.529999999995,1654,1580,31383.01999999999,1453.03,35505.630000000056,-1067,-1303,-15851.369999999992,-1193.98,-18385.10000000006
255,9853,13812,129456.97000000002,20232.590000000044,169917.60000000134,4115,5455,55817.73000000001,7078.869999999995,68589.97999999954,5738,8357,73639.24,13153.720000000048,101327.6200000018
133,1222,474,27936.440000000002,558.9300000000001,31533.270000000008,1959,1439,40805.50999999999,2195.7200000000003,46855.750000000044,-737,-965,-12869.069999999985,-1636.7900000000002,-15322.480000000036
78,2843,1271,63069.47000000003,1114.13,72061.73999999987,2926,1676,60324.640000000036,1158.4,67931.00999999998,-83,-405,2744.8299999999945,-44.26999999999998,4130.729999999894
