LocationID,Ptrip_count,Ppassenger_count,Pfare_amount,Ptip_amount,Ptotal_amount
148,109,3,3559.7799999999993,24.75,3903.5300000000007
243,6786,5899,128151.69000000006,7130.430000000002,149248.46999999892
31,269,176,5907.24,432.65999999999997,7092.709999999999
85,2347,668,52575.760000000075,883.7199999999998,58898.94
251,9,15,377.61,27.37,486.35
137,933,28,28284.05000000002,317.59000000000003,32782.140000000014
65,27281,29094,376630.71999999974,42289.159999999916,462055.6300000172
255,9853,13812,129456.97000000002,20232.590000000044,169917.60000000134
53,587,277,15531.649999999998,259.05,17120.529999999995
133,1222,474,27936.440000000002,558.9300000000001,31533.270000000008
78,2843,1271,63069.47000000003,1114.13,72061.73999999987
155,2374,442,61319.64000000016,584.61,67786.80000000002
108,1633,362,43895.54000000001,415.90999999999997,48335.53999999999
193,4674,4351,48928.67999999999,3123.4699999999993,59638.87999999998
34,446,478,8187.139999999999,557.4799999999999,9596.129999999997
211,11,1,280.45,11.0,314.5
101,621,127,21428.60999999999,216.68,23427.28000000001
126,1463,730,29961.45000000001,526.63,34075.06000000001
115,194,165,9130.669999999998,192.5,11240.740000000002
81,2082,657,68356.07000000002,786.11,77542.38999999997
210,5602,4145,104538.94,4122.870000000001,120217.60999999972
183,839,234,21215.039999999994,327.35,24234.87000000001
28,1699,809,40887.66999999999,848.9900000000001,45567.370000000024
76,8420,2038,212260.0099999997,3197.6099999999997,236506.02000000083
26,2652,621,65355.580000000016,935.65,72247.44999999992
27,50,7,2748.4700000000003,22.0,3072.55
159,7292,4523,133930.63999999993,2964.39,151732.30000000034
192,799,510,18971.86,1035.5600000000002,21395.790000000005
44,15,14,619.37,27.5,686.3499999999998
253,43,37,1151.78,17.62,1251.7800000000002
236,2589,3149,34892.99999999999,4270.849999999999,47905.74000000004
12,6,"",225.27999999999997,0.0,254.69
223,13828,19409,150716.61000000016,16812.599999999962,189809.49000000194
91,4232,732,107662.19000000015,1317.0300000000004,119804.13999999998
222,2241,363,63147.25000000016,467.8,69948.73000000016
22,2222,646,62290.54000000002,859.6199999999999,68383.99999999997
128,324,180,7871.26,299.39000000000004,9011.94
209,392,9,14755.029999999993,33.0,16108.590000000002
122,1236,445,35185.16999999998,261.53999999999996,38418.90000000002
230,116,4,3803.7000000000007,16.5,4287.17
225,6555,2205,137605.09000000017,2781.3899999999994,154399.03999999954
190,579,565,9527.96,771.82,11312.84
157,1073,649,24234.039999999994,945.0500000000002,27731.22000000002
93,416,400,10383.930000000002,376.64,11642.339999999997
232,592,26,16479.889999999996,176.0,18390.279999999988
233,163,2,5459.9,33.0,6265.839999999999
246,93,5,2965.6000000000004,72.32,3381.6099999999997
224,117,7,3420.619999999999,52.25,3908.1600000000003
111,15,18,211.26,28.97,267.68
47,2365,979,49290.55000000003,910.4699999999999,55890.69999999999
177,3450,1030,80650.13,1090.18,89836.40999999984
140,1012,28,33287.75000000002,352.06,37749.39999999998
152,9338,10196,113650.08000000007,8202.280000000002,137913.58999999755
132,172,221,6055.45,674.28,6965.989999999996
185,3167,784,69097.40000000007,1586.1700000000005,77433.03999999986
146,4108,4463,56943.140000000014,3490.96,67812.95999999979
259,1691,259,48938.64999999998,473.42999999999995,54997.02000000003
1,16,18,1236.05,218.51000000000002,1464.8600000000004
206,82,66,3619.71,44.48,4573.7699999999995
52,10667,12877,123712.41000000003,18517.82000000001,159392.1699999996
212,3080,2036,54423.680000000066,1475.8400000000001,63055.940000000075
182,3295,1683,63647.83000000003,1297.6100000000001,72650.02999999997
218,2227,358,62570.67000000016,749.14,69117.00000000003
13,55,2,2328.85,5.5,2648.9799999999996
16,1091,234,30923.140000000007,304.01,34589.54000000004
86,1394,547,60360.83999999997,643.01,65247.6
6,18,7,875.6400000000001,0.0,1117.49
168,5215,3380,95808.54999999997,2149.8999999999996,109195.50999999963
205,3601,605,104586.46000000052,1342.89,115262.56999999998
3,1389,305,33576.74000000002,546.4699999999999,38444.599999999984
178,485,122,11061.120000000006,89.35,12253.509999999997
142,182,14,6385.039999999999,82.5,7088.609999999999
40,4326,5077,55227.670000000006,7591.570000000004,71597.54999999952
20,1490,781,30578.559999999998,608.22,34872.410000000025
164,90,4,2945.13,19.25,3414.0800000000004
169,2889,1576,67157.17000000007,1399.65,75513.53999999983
139,1212,131,34833.83999999998,442.07,38567.159999999974
94,1427,655,31360.230000000018,690.62,35702.57000000001
250,2302,1017,49964.67000000008,722.4399999999999,56869.199999999975
57,123,138,1865.31,85.01,2110.61
54,375,280,7494.210000000001,821.4800000000001,9380.899999999998
120,135,141,3486.5,118.82999999999998,3949.5099999999998
235,3867,1271,87776.04000000012,1643.96,98301.94999999974
96,60,38,1653.8200000000002,25.56,1868.5500000000002
48,237,7,7349.990000000001,85.25,8222.650000000001
191,2036,718,64230.630000000056,608.9900000000001,69968.55000000009
163,94,8,3226.06,30.25,3544.65
5,5,3,312.1,11.0,368.71999999999997
258,1060,246,29277.330000000013,372.75,32869.13
19,629,161,20529.749999999996,166.82,22305.16000000001
92,9247,8392,172960.33000000037,8697.509999999997,197435.24999999924
257,755,283,15494.909999999994,549.6000000000001,18111.01999999999
227,1522,571,54631.869999999995,1114.89,58878.2199999999
117,2069,585,93139.14000000003,467.72,103075.90000000002
